date,symbol,time,last,volume,amount,bp1,bp2,bp3,bp4,bp5,bp6,bp7,bp8,bp9,bp10,bv1,bv2,bv3,bv4,bv5,bv6,bv7,bv8,bv9,bv10,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,av1,av2,av3,av4,av5,av6,av7,av8,av9,av10
20240207,SH.510050,93000000,2.949,500,1474.5,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,3400,2800,2300,1500,1200,1700,1800,19300,800,7000,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,5800,1100,12200,9600,22400,5200,1900,4800,6900,2200
20240207,SH.510050,93003000,2.949,800,2359.2,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,3000,4600,5100,6300,3800,2500,500,500,4600,1400,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,4900,600,5700,1800,800,6200,4200,2300,2400,1000
20240207,SH.510050,93006000,2.948,1100,3243.6,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,7100,1900,6500,1800,2300,600,4300,6000,13800,4300,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,800,4200,1200,4700,1900,1600,3300,400,2400,3400
20240207,SH.510050,93009000,2.948,1300,3833.2,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,3800,3100,12900,3100,2800,6600,1100,11800,9300,2000,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,1500,3100,4700,1900,1200,2500,800,600,4000,2300
20240207,SH.510050,93012000,2.949,1900,5602.6,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,4200,400,1400,2900,6400,8400,6100,5100,11500,13400,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,5600,1900,2000,4400,400,10000,1400,1100,3600,9800
20240207,SH.510050,93015000,2.949,2800,8256.7,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,3000,2700,1500,4100,4200,10300,700,6000,5600,4100,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,5700,400,4200,3600,1200,8500,1000,1200,600,2300
20240207,SH.510050,93018000,2.951,3000,8846.9,2.951,2.95,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,400,4100,1600,9400,2200,1500,5300,3400,6400,4600,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,2.96,2.961,2300,3100,17700,4200,5300,3000,6000,15000,2900,3000
20240207,SH.510050,93021000,2.951,3100,9142.0,2.951,2.95,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2300,30300,600,15400,11900,7800,2000,2200,2500,10000,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,2.96,2.961,2900,4500,5400,600,900,1400,4000,500,1300,1600
20240207,SH.510050,93024000,2.95,3200,9437.0,2.95,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,1200,1200,6400,2200,1700,1000,2300,3000,1400,6400,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,2.96,2900,2900,2300,1200,5500,4200,6100,1800,2900,3600
20240207,SH.510050,93027000,2.95,3300,9732.0,2.95,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,4000,5300,2800,1200,6900,1800,1400,5700,1600,2500,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,2.96,7000,300,500,4500,2600,4100,1400,300,21600,34700
