date,symbol,time_str,side,price,quantity,order_type
20240207,SH.510050,09:30:01.672,buy,2.944,400,limit
20240207,SH.510050,09:30:01.635,buy,2.95,1200,market
20240207,SH.510050,09:30:01.042,sell,2.952,4000,limit
20240207,SH.510050,09:30:04.924,buy,2.944,100,limit
20240207,SH.510050,09:30:05.311,sell,2.955,1000,limit
20240207,SH.510050,09:30:04.756,sell,2.952,600,limit
20240207,SH.510050,09:30:03.011,buy,2.947,300,limit
20240207,SH.510050,09:30:03.923,buy,2.95,1500,market
20240207,SH.510050,09:30:03.797,sell,2.952,2000,limit
20240207,SH.510050,09:30:05.474,buy,2.942,400,stop
20240207,SH.510050,09:30:05.913,buy,2.946,1000,limit
20240207,SH.510050,09:30:06.172,sell,2.946,1200,market
20240207,SH.510050,09:30:07.386,sell,2.954,4000,limit
20240207,SH.510050,09:30:08.701,buy,2.94,1000,stop
20240207,SH.510050,09:30:07.598,sell,2.951,200,limit
20240207,SH.510050,09:30:07.395,sell,2.952,1000,limit
20240207,SH.510050,09:30:06.054,buy,2.944,2000,limit
20240207,SH.510050,09:30:10.992,buy,2.944,400,limit
20240207,SH.510050,09:30:09.200,buy,2.945,1500,limit
20240207,SH.510050,09:30:10.716,buy,2.949,500,market
20240207,SH.510050,09:30:09.213,buy,2.943,100,limit
20240207,SH.510050,09:30:09.206,sell,2.952,400,limit
20240207,SH.510050,09:30:09.577,buy,2.943,5000,limit
20240207,SH.510050,09:30:11.832,sell,2.952,1000,limit
20240207,SH.510050,09:30:10.051,sell,2.962,1500,stop
20240207,SH.510050,09:30:12.040,buy,2.951,600,market
20240207,SH.510050,09:30:13.097,sell,2.964,1000,stop
20240207,SH.510050,09:30:14.974,sell,2.954,600,limit
20240207,SH.510050,09:30:12.046,buy,2.947,300,limit
20240207,SH.510050,09:30:14.274,sell,2.948,400,market
20240207,SH.510050,09:30:14.756,buy,2.948,900,limit
20240207,SH.510050,09:30:12.120,buy,2.947,600,limit
20240207,SH.510050,09:30:16.182,sell,2.947,1000,market
20240207,SH.510050,09:30:15.228,buy,2.946,300,limit
20240207,SH.510050,09:30:16.587,sell,2.947,1500,market
20240207,SH.510050,09:30:17.394,sell,2.954,900,limit
20240207,SH.510050,09:30:16.914,sell,2.953,1000,limit
20240207,SH.510050,09:30:15.519,buy,2.948,3000,limit
20240207,SH.510050,09:30:15.163,sell,2.948,1000,market
20240207,SH.510050,09:30:15.521,buy,2.945,500,limit
20240207,SH.510050,09:30:19.535,buy,2.948,100,limit
20240207,SH.510050,09:30:18.903,sell,2.956,5000,limit
20240207,SH.510050,09:30:19.327,sell,2.955,1500,limit
20240207,SH.510050,09:30:20.070,buy,2.954,1500,market
20240207,SH.510050,09:30:18.492,sell,2.955,600,limit
20240207,SH.510050,09:30:18.151,sell,2.957,500,limit
20240207,SH.510050,09:30:21.574,buy,2.947,300,limit
20240207,SH.510050,09:30:22.087,buy,2.947,500,limit
20240207,SH.510050,09:30:22.617,buy,2.947,1500,limit
20240207,SH.510050,09:30:24.432,buy,2.952,900,market
20240207,SH.510050,09:30:24.780,buy,2.948,400,limit
20240207,SH.510050,09:30:24.909,buy,2.947,200,limit
20240207,SH.510050,09:30:24.039,sell,2.955,1000,limit
20240207,SH.510050,09:30:26.561,buy,2.949,1000,limit
20240207,SH.510050,09:30:26.027,sell,2.956,100,limit
20240207,SH.510050,09:30:27.789,sell,2.954,800,limit
20240207,SH.510050,09:30:27.389,buy,2.947,100,limit
20240207,SH.510050,09:30:28.889,buy,2.946,4000,limit
20240207,SH.510050,09:30:27.210,buy,2.947,1000,limit
20240207,SH.510050,09:30:27.457,sell,2.954,600,limit
20240207,SH.510050,09:30:31.465,buy,2.945,500,limit
20240207,SH.510050,09:30:32.018,buy,2.949,1000,limit
20240207,SH.510050,09:30:32.006,sell,2.955,100,limit
20240207,SH.510050,09:30:30.604,sell,2.95,900,market
20240207,SH.510050,09:30:31.350,sell,2.95,5000,market
20240207,SH.510050,09:30:32.528,sell,2.955,3000,limit
20240207,SH.510050,09:30:34.543,sell,2.955,1500,limit
20240207,SH.510050,09:30:33.341,buy,2.953,1500,market
20240207,SH.510050,09:30:33.206,sell,2.955,1500,limit
20240207,SH.510050,09:30:35.719,sell,2.959,600,stop
20240207,SH.510050,09:30:33.171,sell,2.954,800,limit
20240207,SH.510050,09:30:34.460,sell,2.949,600,market
20240207,SH.510050,09:30:36.683,sell,2.954,300,limit
20240207,SH.510050,09:30:36.438,buy,2.948,1000,limit
20240207,SH.510050,09:30:37.715,sell,2.953,500,limit
20240207,SH.510050,09:30:38.204,sell,2.952,2000,limit
20240207,SH.510050,09:30:37.954,buy,2.946,400,limit
20240207,SH.510050,09:30:39.723,sell,2.954,600,limit
20240207,SH.510050,09:30:41.312,sell,2.947,4000,market
20240207,SH.510050,09:30:41.636,buy,2.945,200,limit
20240207,SH.510050,09:30:41.613,sell,2.949,500,market
20240207,SH.510050,09:30:39.345,sell,2.947,200,market
20240207,SH.510050,09:30:41.468,buy,2.95,600,market
20240207,SH.510050,09:30:44.186,buy,2.95,900,market
20240207,SH.510050,09:30:44.172,buy,2.95,4000,market
20240207,SH.510050,09:30:43.868,sell,2.946,400,market
20240207,SH.510050,09:30:44.140,sell,2.952,1000,limit
20240207,SH.510050,09:30:43.172,sell,2.951,500,limit
20240207,SH.510050,09:30:43.122,buy,2.943,1500,limit
20240207,SH.510050,09:30:47.084,sell,2.962,900,stop
20240207,SH.510050,09:30:47.315,sell,2.951,5000,limit
20240207,SH.510050,09:30:46.209,buy,2.947,400,limit
20240207,SH.510050,09:30:46.140,sell,2.951,1000,limit
20240207,SH.510050,09:30:45.939,sell,2.955,200,limit
20240207,SH.510050,09:30:45.751,sell,2.947,500,market
20240207,SH.510050,09:30:46.766,buy,2.945,1000,limit
20240207,SH.510050,09:30:45.686,sell,2.952,400,limit
20240207,SH.510050,09:30:48.330,sell,2.964,5000,stop
