date,symbol,time,last,volume,amount,bp1,bp2,bp3,bp4,bp5,bp6,bp7,bp8,bp9,bp10,bv1,bv2,bv3,bv4,bv5,bv6,bv7,bv8,bv9,bv10,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,av1,av2,av3,av4,av5,av6,av7,av8,av9,av10
20240207,SH.510050,93000000,2.947,0,0.0,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,2.938,2800,1000,2600,1900,7600,9500,800,2000,500,2400,2.948,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,5500,2700,1900,4200,2700,400,2300,2700,1100,2500
20240207,SH.510050,93003000,2.949,300,884.7,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,7300,22200,6500,10700,10800,4700,1100,2300,5200,1100,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,3300,3300,3500,5800,6600,5500,2200,1900,3700,6700
20240207,SH.510050,93006000,2.948,700,2063.9,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,2.938,2800,500,200,3800,8100,1700,400,7400,35200,1700,2.948,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,6400,1100,42600,800,200,1500,19300,2800,6200,5900
20240207,SH.510050,93009000,2.948,1000,2948.3,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,4500,5400,1600,1500,5900,7400,6600,7100,4500,3300,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,15400,1000,1900,8300,2600,1600,5200,7400,4100,19000
20240207,SH.510050,93012000,2.947,1100,3243.0,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,2.938,23100,3600,3900,6700,18500,3300,3600,500,23700,9000,2.948,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2500,10900,1600,4500,7200,5100,5200,1000,1000,22100
20240207,SH.510050,93015000,2.948,1900,5601.4,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,1600,800,11800,800,3700,3100,3600,1400,400,1400,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,14600,5000,12500,3400,800,3400,3100,1200,2700,49300
20240207,SH.510050,93018000,2.949,3200,9435.1,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2700,3700,14800,3100,800,100,1800,9400,5100,2000,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,500,2900,200,2500,9000,2500,2600,2100,1800,1400
20240207,SH.510050,93021000,2.949,3300,9730.0,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,400,4100,3800,2200,1600,4000,6400,3700,2200,17800,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,2200,1700,1900,1000,8700,1900,9300,700,3600,4300
20240207,SH.510050,93024000,2.95,4200,12385.0,2.95,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,9200,1700,800,800,2600,800,4500,1900,700,800,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,2.96,8500,5800,2200,3600,1300,1000,600,12600,3800,14700
20240207,SH.510050,93027000,2.951,4800,14155.6,2.95,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,600,1900,1100,1500,6200,1100,1200,900,500,41100,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,2.96,2400,4200,2000,2200,6900,2500,14500,1700,2500,5900
20240207,SH.510050,93030000,2.95,5000,14745.6,2.95,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,600,2500,700,1800,3600,14200,1800,1400,2200,900,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,2.96,6600,1400,5500,4200,800,4800,3200,2000,3900,2500
20240207,SH.510050,93033000,2.95,5200,15335.6,2.95,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,3000,800,3500,4300,1500,1900,800,1200,5400,1600,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,2.96,2800,400,900,2300,1400,11300,1700,1800,1500,5900
20240207,SH.510050,93036000,2.951,5800,17106.2,2.95,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2000,7900,3000,6400,11900,1200,2200,2500,3600,5000,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,2.96,4300,2400,400,4400,3900,1800,1500,700,4300,27500
20240207,SH.510050,93039000,2.95,6400,18876.2,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,300,4100,1300,800,14000,2400,4500,1900,4700,800,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,1600,4200,8300,5700,5000,9100,20900,2100,12800,3700
20240207,SH.510050,93042000,2.951,6600,19466.4,2.95,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,900,600,9200,3100,1400,3200,8000,400,1500,1400,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,2.96,1500,1000,26300,9700,1100,1000,7800,3500,10400,3500
20240207,SH.510050,93045000,2.95,7100,20941.4,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,5200,45400,2400,1700,1500,1000,900,2200,1100,1600,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,6300,3000,1500,2000,3100,2200,600,4500,7000,1200
20240207,SH.510050,93048000,2.948,7400,21825.8,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,5300,7400,1200,5200,2200,4700,500,23300,1100,700,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2000,2000,1100,3100,4500,500,5600,2500,1700,3300
20240207,SH.510050,93051000,2.947,8200,24183.4,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,2.938,1000,11900,600,1000,1300,7300,2000,1400,12100,1100,2.948,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2100,6100,9200,2800,7100,9200,2200,700,8900,14200
20240207,SH.510050,93054000,2.947,9100,26835.7,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,2.938,2300,2400,10600,1100,1500,800,1300,4900,1800,10100,2.948,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,8600,3600,5000,1400,5400,8500,1500,4900,3300,1900
20240207,SH.510050,93057000,2.947,9400,27719.8,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,2.938,3000,5700,1700,900,1300,6900,3500,8500,11100,1200,2.948,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,1200,5200,4400,6800,2700,1900,700,2800,26600,1800
20240207,SH.510050,93100000,2.947,10400,30666.8,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,2.938,1100,9500,3600,4300,1800,3900,4000,1300,2800,1600,2.948,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,8800,1400,4000,1300,2200,16300,1700,1500,6600,6300
20240207,SH.510050,93103000,2.949,10500,30961.7,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,8300,5500,10600,12000,1600,500,5000,300,4800,400,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2100,500,4500,2900,13600,1000,15000,700,1500,1700
20240207,SH.510050,93106000,2.95,10500,30961.7,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,1000,4000,700,900,5000,6500,2500,5400,700,700,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,2300,2000,9500,700,4600,18000,3000,900,4500,2000
20240207,SH.510050,93109000,2.95,11500,33911.7,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,5100,4700,1600,1300,2100,2200,13200,1300,4400,8000,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,3800,3100,1100,3100,5900,6800,700,4600,1200,500
20240207,SH.510050,93112000,2.949,11900,35091.3,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2400,2800,13500,1300,2500,10100,2900,9300,8300,1800,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,300,1400,2600,12200,2900,1600,8100,1900,6800,3300
20240207,SH.510050,93115000,2.949,12600,37155.6,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,5000,3100,8000,3000,2800,14500,2300,4200,3800,800,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,2400,1900,1000,2000,1300,22200,1600,1700,24100,2800
20240207,SH.510050,93118000,2.949,12700,37450.5,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2100,1700,17300,12800,24300,1600,3600,51100,6200,3400,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,8900,4200,1900,2700,400,400,1600,2600,800,2100
20240207,SH.510050,93121000,2.95,13100,38630.5,2.95,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,14400,8600,4600,3300,15200,19900,2900,5200,3000,1300,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,2.96,300,10900,1000,800,3100,3300,2200,1400,3400,17300
20240207,SH.510050,93124000,2.951,13300,39220.7,2.95,2.949,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,600,5800,700,700,2600,5000,800,1700,6300,1900,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,2.959,2.96,100,2100,1200,3900,13300,500,4600,7800,13200,600
20240207,SH.510050,93127000,2.949,14800,43644.2,2.948,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,1900,2200,500,1600,2300,6200,1600,6600,6600,2200,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2.958,3900,3200,12000,1700,900,600,15800,900,200,2000
20240207,SH.510050,93130000,2.946,16300,48063.2,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,2.938,2.937,1500,3300,400,5700,100,3300,4200,1200,4300,2300,2.947,2.948,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,3600,2100,600,1700,17900,14400,4300,300,1900,1600
20240207,SH.510050,93133000,2.947,16800,49536.7,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,2.938,300,5100,1600,17800,8000,3500,1400,12800,1600,6700,2.948,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,18600,7900,3200,800,600,14800,14400,800,1100,4100
20240207,SH.510050,93136000,2.947,17100,50420.8,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,2.938,2500,3400,1700,5500,1700,1300,2600,1700,400,1900,2.948,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,2500,1000,9600,55900,4800,3200,6000,2600,4900,4200
20240207,SH.510050,93139000,2.947,17600,51894.3,2.947,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,2.938,2600,300,3000,5200,4600,1600,2100,2900,3900,5500,2.948,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,2.957,1800,500,46100,700,2900,4000,14600,1600,3300,2100
20240207,SH.510050,93142000,2.946,17700,52188.9,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,2.938,2.937,1300,2400,1200,1700,8300,26100,1600,3100,2500,4500,2.947,2.948,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,700,20800,1900,2300,1900,19100,4800,9200,2400,2600
20240207,SH.510050,93145000,2.947,18200,53662.4,2.946,2.945,2.944,2.943,2.942,2.941,2.94,2.939,2.938,2.937,2400,5200,9300,100,1600,200,4600,8000,1900,11000,2.947,2.948,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2.956,900,300,200,2400,5600,1900,14800,3300,1600,4300
20240207,SH.510050,93148000,2.946,19600,57786.8,2.945,2.944,2.943,2.942,2.941,2.94,2.939,2.938,2.937,2.936,19300,3500,5000,4200,10900,7200,9000,2900,3400,5400,2.946,2.947,2.948,2.949,2.95,2.951,2.952,2.953,2.954,2.955,2100,1800,12300,2600,5200,800,2500,35000,3700,3100
